professor_name,lecture_name,aspect,Unnamed: 0,Unnamed: 0.1,like,semester,rate,index,url_id,duplicated,duplicated_id,cnt,label
Joanne Kim-Yamada,English Listening Practice 1,과제,295.0,10337.333333333334,0.3333333333333333,19.25,71.66666666666667,13.416666666666666,1628718.0,1.0,2295.4166666666665,1.4166666666666667,1.0
Joanne Kim-Yamada,English Listening Practice 1,교수,295.1,10337.4,0.9,19.3,64.0,13.0,1628718.0,1.0,2295.1,1.0,-1.0
Joanne Kim-Yamada,English Listening Practice 1,수업,298.9230769230769,10342.384615384615,0.3076923076923077,19.076923076923077,63.07692307692308,15.923076923076923,1628718.0,1.0,2296.923076923077,2.3076923076923075,1.0
Joanne Kim-Yamada,English Listening Practice 1,학점,300.8181818181818,10345.545454545454,0.09090909090909091,18.90909090909091,76.36363636363636,16.727272727272727,1628718.0,1.0,2297.818181818182,1.7272727272727273,-1.0
Julian Kibum Chung,English Listening Practice 1,과제,551.2631578947369,10085.78947368421,0.21052631578947367,19.36842105263158,74.73684210526316,19.0,1628708.0,1.0,2175.2105263157896,1.368421052631579,0.0
Julian Kibum Chung,English Listening Practice 1,교수,791.0769230769231,10082.307692307691,0.8461538461538461,19.46153846153846,80.0,17.615384615384617,1628708.0,1.0,2174.3076923076924,1.0,0.5
Julian Kibum Chung,English Listening Practice 1,수업,686.695652173913,10098.391304347826,0.4782608695652174,18.91304347826087,76.52173913043478,24.17391304347826,1628708.0,1.0,2179.913043478261,2.3043478260869565,0.6
Julian Kibum Chung,English Listening Practice 1,시험,36.22222222222222,10095.611111111111,0.5,19.11111111111111,83.33333333333333,23.38888888888889,1628708.0,1.0,2179.5555555555557,1.5555555555555556,0.3333333333333333
Julian Kibum Chung,English Listening Practice 1,학점,431.0,10114.923076923076,0.6923076923076923,18.53846153846154,76.92307692307692,30.846153846153847,1628708.0,1.0,2185.076923076923,2.0,-0.3333333333333333
Kyle F McCullagh,English Listening Practice 1,과제,181.94117647058823,9716.5625,0.1875,19.1875,100.0,14.941176470588236,1628713.0,1.0,2247.0,1.411764705882353,1.0
Kyle F McCullagh,English Listening Practice 1,수업,193.65217391304347,9733.739130434782,0.08695652173913043,18.304347826086957,98.26086956521739,21.17391304347826,1628713.0,1.0,2252.0434782608695,2.4782608695652173,1.0
Kyle F McCullagh,English Listening Practice 1,학점,182.8,9714.888888888889,0.2222222222222222,19.333333333333332,98.0,15.3,1628713.0,1.0,2247.1,2.6,1.0
Michael Andrew Dirks,English Listening Practice 1,과제,252.9,10006.9,0.4,18.7,92.0,18.2,1628715.0,1.0,2275.9,1.3,1.0
Shion Kang,English Listening Practice 1,과제,133.75,10210.916666666666,0.8333333333333334,18.583333333333332,55.0,14.666666666666666,1628711.0,1.0,2224.9166666666665,1.1666666666666667,-1.0
Shion Kang,English Listening Practice 1,교수,129.0,10181.0,2.0,19.0,20.0,7.0,1628711.0,1.0,2222.0,1.0,-1.0
Shion Kang,English Listening Practice 1,수업,134.0,10211.888888888889,1.3333333333333333,18.555555555555557,44.44444444444444,15.333333333333334,1628711.0,1.0,2225.3333333333335,2.3333333333333335,-1.0
Shion Kang,English Listening Practice 1,시험,143.0,10237.0,0.0,18.25,50.0,23.75,1628711.0,1.0,2229.75,1.5,0.0
Shion Kang,English Listening Practice 1,학점,130.0,10198.285714285714,0.0,18.714285714285715,71.42857142857143,10.857142857142858,1628711.0,1.0,2223.1428571428573,1.8571428571428572,0.3333333333333333
Young In Chang,English Listening Practice 1,과제,95.71428571428571,10274.42857142857,0.0,18.571428571428573,94.28571428571429,10.428571428571429,1628709.0,1.0,2207.0,1.1428571428571428,1.0
Young In Chang,English Listening Practice 1,교수,95.77777777777777,10274.666666666666,0.0,18.333333333333332,93.33333333333333,10.777777777777779,1628709.0,1.0,2206.8888888888887,1.0,1.0
Young In Chang,English Listening Practice 1,수업,101.88888888888889,10281.444444444445,0.0,18.11111111111111,93.33333333333333,14.222222222222221,1628709.0,1.0,2209.6666666666665,2.2222222222222223,0.3333333333333333
Young In Chang,English Listening Practice 1,시험,96.0,10273.6,0.0,18.6,100.0,10.2,1628709.0,1.0,2207.0,1.6,1.0
Young In Chang,English Listening Practice 1,학점,97.1,10275.6,0.0,18.3,96.0,11.2,1628709.0,1.0,2207.4,2.1,1.0
문종현,세계사:인간과문명,교수,550.725,16805.75,0.15,18.625,90.5,62.175,1628768.0,1.0,2419.6,1.0,1.0
박효근,세계사:인간과문명,학점,715.0555555555555,17039.0,0.5,18.833333333333332,94.44444444444444,43.611111111111114,1628769.0,1.0,2490.277777777778,2.3333333333333335,-1.0
유기윤,English Listening Practice 1,시험,372.375,10485.142857142857,0.2857142857142857,19.142857142857142,97.5,8.25,1628724.0,1.0,2335.0,1.625,-1.0
