,url_id,lec_num,pro_name,star
0,535020,8802,이재교,86.6
1,1950200,9600,김희정,96.4
2,2099759,9608,한명관,100.0
3,1788599,3706,이원,95.0
4,1788598,9607,한명관,75.0
5,1950202,8724,조남택,60.0
6,1627653,9606,이재교,87.6
7,1627655,10111,이재교,100.0
8,1787994,8734,이수정,95.0
9,2099762,5071,김영래,45.8
10,535082,451,이인숙,75.0
11,2183014,11110,주경희,50.0
12,2099770,8355,이현주,20.0
13,1950218,4564,최진옥,65.0
14,2099772,5329,정영교,45.0
15,1787989,596,심지영,46.6
16,535032,6855,김승구,40.0
17,537378,7832,주경희,24.0
18,2183034,11110,김도형,100.0
19,2183029,11110,노성호,100.0
20,1627722,7387,강자모,90.4
21,535037,7650,정영희,82.2
23,1788014,9495,장정임,84.0
24,1627724,10368,Murakami Kenichi,82.8
25,1788016,10386,노성호,74.0
26,535039,5840,이동영,82.2
28,1788017,7514,진실로,96.4
30,535041,7390,이동영,84.6
32,1788019,8373,김지원,40.0
33,1627728,10366,곽은주,73.4
34,2099781,7929,강미영,60.0
35,2099782,7929,김현아,96.0
36,535049,7820,정영희,84.4
37,1627730,7821,곽은주,100.0
38,2099783,7822,김수연,90.0
39,537409,7833,이경랑,100.0
40,1627673,10326,이경랑,60.0
41,1788026,10370,Yano Takayoshi,60.0
42,1788027,10373,Yano Takayoshi,86.6
43,535062,5068,이응수,76.0
44,1950228,5068,김효숙,40.0
45,2099786,10379,윤석임,60.0
46,1627675,8413,이병진,60.0
48,1788029,10387,최필수,72.0
49,1950233,10517,이문기,57.8
50,535177,7689,강필임,76.0
52,539849,7749,노성호,100.0
53,1950242,4445,우은진,86.6
54,1950241,1646,최향란,100.0
55,1950243,10254,최향란,80.0
56,1950244,3518,김미성,90.0
57,1627704,4446,정영권,80.0
58,1702822,209,김성은,87.6
59,2099810,7699,이태환,95.0
60,1788062,10448,이종은,100.0
61,2099812,830,이혁진,60.0
62,535220,7379,배기형,63.4
63,537510,4208,허행량,36.4
