,Unnamed: 0,text,tokenized,pseudo_label
0,0,판례평석 잘하면 성적잘 주시는것 같음,"['판례', '평석', '성적']",0.6232896
1,1,중간 개망치고 기말도 틀린 문제 몇 개 있었는데 판례평석 과제 평가는 전부 이었음,"['중간', '망치', '기말', '틀린', '몇', '판례', '평석', '평가', '전부']",0.52629846
2,2,성적도 결국  나옴,"['성적', '결국', '나옴']",0.29408717
3,3,과제들 되게 귀찮고 많다 시험은 말빨 좋으면 된다 난 시험은 망쳤지만 과제는 열심히해서 점수 잘 받았음,"['되게', '귀찮', '빨', '으면', '된다', '난', '망쳤', '열심히', '해서']",0.62516904
4,4,수업은  띄워놓으시고 하시는데 보통 교안에 없는 다른 관련 사례를 중심으로 많이 얘기하심,"['띄워', '으시', '보통', '교안', '관련', '사례', '중심', '많이', '얘기', '심']",0.74458885
5,5,수업만 잘 들으면 시험도 잘 볼 수 있고 성적도 후하게 주시는 편,"['들으면', '볼', '성적', '후하', '편']",0.53654397
6,6,다만 과제는 분량 채워쓰기가 쉽지만은 않음,"['다만', '분량', '채워', '쓰', '쉽', '지만은']",0.7815929
7,7,교재에 없는 내용 많이 얘기해주시고 말씀하신 내용에서 시험문제 내셔서 교재 그렇게 크게 필요는 없습니다,"['교재', '내용', '많이', '얘기', '해', '말씀', '신', '내용', '셔서', '교재', '그렇게', '필요']",0.9819574
8,8,과제가 좀 시간이 오래 걸리기는 한데 판례평석은 민사소송법 강의에서도 내주셔서 어차피 내년에도 하셔야 되니 계속 해야되는거 연습한다 셈 치고 해보시길,"['오래', '걸리', '한데', '판례', '평석', '민사', '소송법', '내주', '셔서', '어차피', '내년', '셔야', '니', '계속', '해야', '연습', '한다', '셈', '치', '해', '길']",0.6807545
9,9,점수는 나름 잘 주시는 것 같아요,"['나름', '아요']",0.5537447
10,10,방청도 저는 재밌었습니다,"['방청', '저', '재밌']",0.73082966
11,11,저는 상당히 만족했던 강의였습니다,"['저', '상당히', '만족', '던', '였']",0.80003166
12,12,강의내용도 재밌었고 시험문제도 괜찮았구요,"['내용', '재밌', '괜찮', '구요']",0.66719586
13,13,학점은 원래 잘주시는 교수님이시니,"['원래', '니']",0.3856089
14,14,법학과 들어와서 다른 강의들 듣기 전에 수강하기엔 최적화된 과목인듯,"['법학', '들어와서', '듣', '수강', '엔', '최적', '화', '된', '과목', '인', '듯']",0.6901877
15,15,사이버강의라 괜찮았지만 과제는 꽤 많았어요,"['사이버', '라', '괜찮', '꽤', '어요']",0.51295096
16,16,시험은 수업 잘 들으면 잘 나옴,"['들으면', '나옴']",0.5528092
17,17,과제가 힘듦,"['힘', '듦']",0.18509367
18,18,수업이 집중하면 재미는 있으나 매우 졸림,"['집중', '재미', '으나', '매우', '졸림']",0.38625073
19,19,교수님 진짜 좋으심 재밌게 수업하려고 노력하시고 이름도 외우시려고 노력하시는게 눈에 보임 다만 재미는 없음 시 종이 칠 때쯤 되면 앞에 애들 다 졸고 있음평석이나 방청같은 과제 있음 글쓰기 양늘려서 잘 쓰는 사람에게는 문제 없고 성의만 있으면 에이쁠 주시는 것 같음수업 시간에 말한 사례위주로 공부하면 성적 나쁘지 않게 나옴,"['진짜', '으', '심', '재밌', '려고', '노력', '이름', '외우', '려고', '노력', '눈', '보임', '다만', '재미', '종이', '칠', '쯤', '애', '졸', '평석', '방청', '글', '쓰', '양', '늘려서', '쓰', '성의', '으면', '이쁠', '사례', '위주', '공부', '성적', '나쁘', '나옴']",0.93773717
20,20,교재는 정말 필요없음 당연히 시험문제에도 그닥 영향 안 줌교수님이 수업전에 따로 호명하시면서 눈 마주치심수업 내용은 좋은데 과제가 많이 빡셈 내용이 빡세다기보다는 분량을 채우기 힘든게 큼,"['교재', '정말', '필요', '당연히', '그닥', '영향', '줌', '따로', '호명', '면서', '눈', '마주', '치심', '내용', '은데', '많이', '빡', '셈', '내용', '빡세', '다기', '분량', '채우', '힘든', '큼']",0.7328291
21,21,일단 법학부 수업 중 재밌습니다,"['일단', '법', '학부', '재밌']",0.726097
22,22,그리고 열공한다면 성적 또한 뒷따름이 분명합니다,"['열공', '한다면', '성적', '또한', '뒷', '따름', '분명', '합니다']",0.42999062
23,23,교재 꼼꼼히 안읽어도 교수님 강의 녹음해놨다가 시험기간 전에 한번 들어보기만 하면 시험은 어렵지 않게 풀 수 있음 문제 대부분은 직접 평결 내리는 형식임,"['교재', '꼼꼼히', '읽', '어도', '녹음', '해놨', '다가', '기간', '어렵', '풀', '대부분', '직접', '평결', '내리', '형식', '임']",0.75760496
24,24,한 학기에 과제 네번이었는데 다  장이 최소 분량임 그런데 분량 안채워도 내용만 애 쓴 티 나면 점수 잘 주시고 피드백이 있어서 좋음,"['학기', '네', '장', '최소', '분량', '임', '그런데', '분량', '채워도', '내용', '애', '쓴', '티', '피드백', '어서']",0.49850285
