Unnamed: 0,like,semester,professor_name,rate,index,lecture_name,url_id,duplicated,duplicated_id,clean_txt,aspect,cnt,1
0,0,20,이재교,100,0,법학입문,535020,0,-1,판례평석 잘하면 성적잘 주시는것 같음,학점,1,1
11377,1,20,오혜미,60,3,창업의이론과실제,2022697,0,-1,강의내용자체는 좋았어요 다만 원격강의로 진행되서 여러모로 불편한점이 많았습니다 출석체크 꽤나 철저하게 하셨어요 창업에관심있다면 들어볼만합니다 하지만 실무적인내용은 x,수업,1,1
11378,1,20,오혜미,20,4,창업의이론과실제,2022697,0,-1,강의 제목과 다르게 창업에 관한걸 배우는 것이 아니라 경영학 이론만 주구장창 암기시킴,수업,1,-1
11379,0,19,오혜미,100,5,창업의이론과실제,2022697,0,-1,교수님 매우 착하시고 이쁘심  사랑해요 짱짱,교수,1,1
11385,0,20,이유진,20,0,서양고전강독3,2100196,0,-1,1학점도 아까운 지옥의 강좌,학점,1,-1
11392,6,20,이유진,100,3,서양고전강독3,2100196,0,-1,그동안 고강이 너무 날먹이라 다들 그걸 기대하고 수업들었는데 그만큼이 아니라서 실망한듯,수업,1,-1
11393,6,20,이유진,100,3,서양고전강독3,2100196,0,-1,"심화학습이야 책 읽고 써야하니 오래 걸릴 수도 있긴 한데 책 다 읽어야되는 것도 아니고 한주차 강의 부분만 읽으면 되는데,이게 왜 그렇게 불만인지 잘 모르겠음",수업,1,0
11394,6,20,이유진,100,3,서양고전강독3,2100196,0,-1,하도 이메일로 찡찡댔는지 이것마저도 기말에선 안 봄,시험,1,0
11396,6,20,이유진,100,3,서양고전강독3,2100196,0,-1,이메일이나 공지에서 보이는 교수님 태도는 좀 심하긴 하셨음,교수,1,-1
11397,6,20,이유진,100,3,서양고전강독3,2100196,0,-1,난 아무것도 한 게 없고 과제도 잘했는데 왜 혼나는 기분이 드는지,교수,1,-1
5267,0,18,한희섭,40,4,호텔경영론,1788334,0,-1,호불호가 갈리는 수업인데 개인적으로 배울 건 정말 없는 수업이라 생각한다,수업,1,-1
11402,0,20,이유진,20,6,서양고전강독3,2100196,0,-1,걍 제발 듣지말고 도망가 다른 과목이였어도 이교수님은 안 듣는다,교수,1,-1
11403,2,20,이유진,20,7,서양고전강독3,2100196,0,-1,아래 글에서 수업의 질이 좋았다 어쩌구 하는데 애초에 이 수업듣고 고전독서를 막 탐구하고 싶어서 듣는게 아니잖아,수업,1,-1
5265,0,18,한희섭,60,2,호텔경영론,1788334,0,-1,수업에 조금만 더 신경써주시면 내용적인 측면에서 더 배울게 많다고 생각하는데 많이 아쉽,수업,1,-1
5263,1,18,한희섭,80,1,호텔경영론,1788334,0,-1,팀플 역시 대충 구글링만해서는 ppt때 티가 많이 날수밖에 없음,과제,1,0
5262,1,18,한희섭,80,1,호텔경영론,1788334,0,-1,참고로 쉐라톤 인턴십 인터뷰 때 막힘없이 대답할 수 있었던 이유중 하나가 이 수업 수강했기 때문임,수업,1,1
5260,1,18,한희섭,80,1,호텔경영론,1788334,0,-1,호텔 산업 전반에 대한 얕고 넓은 지식을 습득하기 좋은 강의임,수업,1,1
5259,1,18,한희섭,80,1,호텔경영론,1788334,0,-1,밑 평가들이 왜 이모양인지는 모르겠으나 이번학기 6전공을 수강했던 사람으로서 가장 배울 점 많은 강의였음,수업,1,1
5254,0,20,박광민,100,0,외식경영세미나,1415744,0,-1,교수님은 따뜻하신 편,교수,1,1
11405,3,20,이유진,20,8,서양고전강독3,2100196,0,-1,밑에 수업의 질이 좋다는 종이님들 인정합니다,수업,1,1
11407,3,20,이유진,20,8,서양고전강독3,2100196,0,-1,근데 다들 이 수업 솔직히 그럴려고 듣나요,수업,1,-1
5250,0,20,박광민,100,0,외식경영세미나,1415744,0,-1,에이쁠은 아니었지만 이 과목에 대해 관심을 갖게 해주신 교수님,교수,1,1
5249,0,20,이수정,100,0,바리스타및음료실습2,2100282,0,-1,본인은 꿀강의였지만  내년에는 어떨지잘모르겠다타과학생들이 많이들으러옴 재밌음,수업,1,1
11410,3,20,이유진,20,8,서양고전강독3,2100196,0,-1,근데 이분 수업은 책 읽고 인증하는게 훨씬 훨씬 덜 머리아프고 덜 힘듭니다,수업,1,1
11417,13,20,이유진,80,10,서양고전강독3,2100196,0,-1,물론 고전 강독을 책 읽기 힘드니까 듣는건데 시험에서 안 읽어주신 부분 낸다고 하셔서 당황하긴 했음,시험,1,0
11420,13,20,이유진,80,10,서양고전강독3,2100196,0,-1,"암튼 개인적인 생각으로는 강의의 질이 나쁜 것도 아니었고, 이전에 꿀과목으로만 알던 수업이 아니게 되니까 전체적으로 안 좋게 평가하는 거 같아 보여서 이렇게 남김 ",수업,1,0
11373,0,20,오혜미,80,2,창업의이론과실제,2022697,0,-1, 그런데 수업 이름처럼 창업에 대한 걸 많이 배웠나,수업,1,-1
11429,10,20,이유진,20,15,서양고전강독3,2100196,0,-1,여러분들을 생각해서 Fun하고 Cool하고 Sexy하게 책 3권 읽는 과제를 내 드리겠습니다네,과제,1,1
11371,0,20,오혜미,80,1,창업의이론과실제,2022697,0,-1,반복돼서 지루하긴 하지만 교수님 목소리가 예뻐서 집중하기에 좋았,교수,1,1
11361,1,19,임홍태,100,7,동양고전강독1,1950606,0,-1,그랬더니 시험 공부 따로 안하고도 패스함,시험,1,0
5296,0,19,안영주,60,0,호텔경영론,1788335,0,-1,특히 과제 설명하실때 이해 못한 학생들이 절반이였을정도로 소통이 안됨,과제,1,-1
11317,2,20,강병철,100,1,세계화와글로벌거버넌스,1950604,0,-1,그래도 호불호 갈리는 수업이라 막연히 추천한다고는 못하것네,수업,1,-1
11322,0,20,강병철,20,3,세계화와글로벌거버넌스,1950604,0,-1,돈 내고 듣는 수업이잖아요,수업,1,0
5293,2,20,최충범,100,11,호텔경영론,2100064,0,-1,차근차근 설명해주시고 피피티도 차근차근하니 교수님 뵌적은 없지만 좋은 사람인 것 같아열 내적친분감 상승,교수,1,1
11324,1,20,강병철,60,4,세계화와글로벌거버넌스,1950604,0,-1,"수업이 매우 재미있고, 흥미로웠음",수업,1,1
11327,1,20,강병철,60,4,세계화와글로벌거버넌스,1950604,0,-1,내가 들은 강의 중 몇 안되는 제대로 된 강의,수업,1,1
5290,0,20,최충범,100,9,호텔경영론,2100064,0,-1,제가 들어본 수업 중 탑3안에 듭니다,수업,1,1
11328,1,20,강병철,60,4,세계화와글로벌거버넌스,1950604,0,-1,"다만, 강의평가에서 볼 수 있듯이 대학을 배움을 위해 다니지 않는 학생은 듣지 않는 것을 추천함",수업,1,0
11337,0,19,강병철,20,6,세계화와글로벌거버넌스,1950604,0,-1,이과목 점수 잘받고싶으면 전공 다버려 이런느낌임  왠만하면 이수업은 절대절대 듣지마셈    내가 이거듣고  수강철회 못한걸 땅을 치고 후회햇엇지,수업,1,-1
11338,1,19,강병철,100,7,세계화와글로벌거버넌스,1950604,0,-1,교수님 말씀대로 힘들게 한학기 끝나고 나니까 확실히 배운것도 많았,교수,1,1
11342,1,20,임홍태,100,1,동양고전강독1,1950606,0,-1,"서고강,동서고강 패스하고 들으니 세상꿀강의라는걸 뼈저리게 느꼈음",수업,1,0
