,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,like,semester,professor_name,rate,index,lecture_name,url_id,duplicated,duplicated_id,clean_txt,aspect,cnt,label,token,score
0,0,0,1.0,0.0,20.0,이재교,100,0,법학입문,535020,1,0,중간 개망치고 기말도 틀린 문제 몇 개 있었는데 판례평석 과제 평가는 전부 A+이었음,과제,1,,중간 개 망치 기말 도 틀린 문제 몇 개 는데 판례 평석 과제 평가 전부,0
1,1,1,1.0,0.0,20.0,이재교,100,0,법학입문,535020,1,0,중간 개망치고 기말도 틀린 문제 몇 개 있었는데 판례평석 과제 평가는 전부 A+이었음,시험,2,,중간 개 망치 기말 도 틀린 문제 몇 개 는데 판례 평석 과제 평가 전부,0
2,2,2,3.0,0.0,20.0,이재교,80,1,법학입문,535020,1,1,시험은 말빨 좋으면 된다 난 시험은 망쳤지만 과제는 열심히해서 점수 잘 받았음,시험,2,,시험 빨 좋 으면 된다 난 시험 망쳤 지만 과제 열심히 해서 점수 잘 받 았,1
3,3,3,3.0,0.0,20.0,이재교,80,1,법학입문,535020,1,1,과제들 되게 귀찮고 많다,과제,1,,과제 되게 귀찮 많 다,1
4,4,4,5.0,0.0,20.0,이재교,80,2,법학입문,535020,1,2,수업만 잘 들으면 시험도 잘 볼 수 있고 성적도 후하게 주시는 편,시험,1,,수업 만 잘 들으면 시험 도 잘 볼 성적 도 후하 게 시 편,1
5,5,5,5.0,0.0,20.0,이재교,80,2,법학입문,535020,1,2,수업만 잘 들으면 시험도 잘 볼 수 있고 성적도 후하게 주시는 편,학점,2,,수업 만 잘 들으면 시험 도 잘 볼 성적 도 후하 게 시 편,1
6,6,6,5.0,0.0,20.0,이재교,80,2,법학입문,535020,1,2,수업만 잘 들으면 시험도 잘 볼 수 있고 성적도 후하게 주시는 편,수업,3,,수업 만 잘 들으면 시험 도 잘 볼 성적 도 후하 게 시 편,1
7,7,7,7.0,0.0,20.0,이재교,100,3,법학입문,535020,1,3,과제가 좀 시간이 오래 걸리기는 한데,과제,1,,과제 좀 시간 오래 걸리 기 한데,-1
8,8,8,7.0,0.0,20.0,이재교,100,3,법학입문,535020,1,3,"과제가 좀 시간이 오래 걸리기는 한데, 판례평석은 민사소송법 강의에서도 내주셔서 어차피 내년에도 하셔야 되니 계속 해야되는거 연습한다 셈 치고 해보시길",수업,2,,과제 좀 시간 오래 걸리 기 한데 판례 평석 민사 소송법 강의 에서 도 내주 셔서 어차피 내년 도 셔야 니 계속 해야 거 연습 한다 셈 치 해 시 길,-1
9,9,9,10.0,0.0,20.0,이재교,100,3,법학입문,535020,1,4,강의내용도 재밌었고,수업,2,,강의 내용 도 재밌,1
10,10,10,10.0,0.0,20.0,이재교,100,3,법학입문,535020,1,4,시험문제도 괜찮았구요,시험,1,,시험 문제 도 괜찮 았 구요,1
11,11,11,11.0,0.0,20.0,이재교,100,3,법학입문,535020,1,5,학점은 원래 잘주시는 교수님이시니,교수,1,,학점 원래 잘 시 교수 님 시 니,1
12,12,12,11.0,0.0,20.0,이재교,100,3,법학입문,535020,1,5,학점은 원래 잘주시는 교수님이시니,학점,2,,학점 원래 잘 시 교수 님 시 니,1
13,13,13,13.0,0.0,20.0,이재교,100,4,법학입문,535020,1,6,사이버강의라 괜찮았지만 시험은 수업 잘 들으면 잘 나옴,수업,3,,사이버 강의 라 괜찮 았 지만 시험 수업 잘 들으면 잘 나옴,1
14,14,14,13.0,0.0,20.0,이재교,100,4,법학입문,535020,1,6,과제는 꽤 많았어요,과제,1,,과제 꽤 많 았 어요,1
15,15,15,13.0,0.0,20.0,이재교,100,4,법학입문,535020,1,6,시험은 수업 잘 들으면 잘 나옴,시험,2,,시험 수업 잘 들으면 잘 나옴,-1
16,16,16,16.0,0.0,19.0,이재교,100,6,법학입문,535020,1,7,교수님 진짜 좋으심 재밌게 수업하려고 노력하시고 이름도 외우시려고 노력하시는게 눈에 보임 다만 재미는 없,교수,1,,교수 님 진짜 좋 으 재밌 게 수업 려고 노력 시 이름 도 외우 시 려고 노력 시 게 눈 보임 다만 재미,1
17,17,17,16.0,0.0,19.0,이재교,100,6,법학입문,535020,1,7,재밌게 수업하려고 노력하시고,수업,2,,재밌 게 수업 려고 노력 시,1
18,18,18,18.0,0.0,19.0,이재교,100,6,법학입문,535020,1,8,글쓰기 양늘려서 잘 쓰는 사람에게는 문제 없고 성의만 있으면 에이쁠 주시는 것 같음수업 시간에 말한 사례위주로 공부하면 성적 나쁘지 않게 나옴,학점,1,,글 쓰 기 양 늘려서 잘 쓰 에게 문제 성의 만 으면 이쁠 시 수업 시간 사례 위주 로 공부 면 성적 나쁘 게 나옴,-1
19,19,19,18.0,0.0,19.0,이재교,100,6,법학입문,535020,1,8,글쓰기 양늘려서 잘 쓰는 사람에게는 문제 없고 성의만 있으면 에이쁠 주시는 것 같음수업 시간에 말한 사례위주로 공부하면 성적 나쁘지 않게 나옴,수업,2,,글 쓰 기 양 늘려서 잘 쓰 에게 문제 성의 만 으면 이쁠 시 수업 시간 사례 위주 로 공부 면 성적 나쁘 게 나옴,-1
20,20,20,20.0,0.0,19.0,이재교,80,7,법학입문,535020,1,9,과제가 많이 빡셈 내용이 빡세다기보다는 분량을 채우기 힘든게 큼,과제,2,,과제 많이 빡 셈 내용 빡세 다기 보다 분량 채우 기 힘든 게 큼,1
21,21,21,20.0,0.0,19.0,이재교,80,7,법학입문,535020,1,9,당연히 시험문제에도 그닥 영향 안 줌교수님이 수업전에 따로 호명하시면서 눈 마주치심수업 내용은 좋은데 과제가 많이 빡셈 내용이 빡세다기보다는 분량을 채우기 힘든게 큼,시험,3,,당연히 시험 문제 도 그닥 영향 안 줌 교수 님 수업 전 따로 호명 시 면서 눈 마주 치심 수업 내용 좋 은데 과제 많이 빡 셈 내용 빡세 다기 보다 분량 채우 기 힘든 게 큼,1
22,22,22,20.0,0.0,19.0,이재교,80,7,법학입문,535020,1,9,수업 내용은 좋은데,수업,4,,수업 내용 좋 은데,1
23,23,23,20.0,0.0,19.0,이재교,80,7,법학입문,535020,1,9,당연히 시험문제에도 그닥 영향 안 줌교수님이 수업전에 따로 호명하시면서 눈 마주치심수업 내용은 좋은데 과제가 많이 빡셈 내용이 빡세다기보다는 분량을 채우기 힘든게 큼,교수,1,,당연히 시험 문제 도 그닥 영향 안 줌 교수 님 수업 전 따로 호명 시 면서 눈 마주 치심 수업 내용 좋 은데 과제 많이 빡 셈 내용 빡세 다기 보다 분량 채우 기 힘든 게 큼,1
24,24,24,22.0,0.0,19.0,이재교,100,9,법학입문,535020,1,10,교재 꼼꼼히 안읽어도 교수님 강의 녹음해놨다가 시험기간 전에 한번 들어보기만 하면 시험은 어렵지 않게 풀 수 있,교수,1,,교재 꼼꼼히 안 읽 어도 교수 님 강의 녹음 해놨 다가 시험 기간 전 번 어 기 만 면 시험 어렵 게 풀,0
25,25,25,22.0,0.0,19.0,이재교,100,9,법학입문,535020,1,10,교재 꼼꼼히 안읽어도 교수님 강의 녹음해놨다가 시험기간 전에 한번 들어보기만 하면 시험은 어렵지 않게 풀 수 있,수업,3,,교재 꼼꼼히 안 읽 어도 교수 님 강의 녹음 해놨 다가 시험 기간 전 번 어 기 만 면 시험 어렵 게 풀,0
26,26,26,22.0,0.0,19.0,이재교,100,9,법학입문,535020,1,10,시험은 어렵지 않게 풀 수 있,시험,2,,시험 어렵 게 풀,-1
27,27,27,26.0,0.0,19.0,이재교,80,10,법학입문,535020,1,11,과제는 5번 있고 모든 과제가 수월하게 할 수 있는 과제는 아님 ,과제,1,,과제 번 모든 과제 수월 게 할 과제 아님,0
28,28,28,26.0,0.0,19.0,이재교,80,10,법학입문,535020,1,11,매우 졸림 과제는 5번 있고 모든 과제가 수월하게 할 수 있는 과제는 아님 글 잘 쓰는거 좋아하심 그래도 열심히 하면 A이상은 주심  시험도 수업시간 때 가르쳐주신 개념들 알고있으면 거의 다 적을 수 있고 몰라도 자신의 생각 논리적으로 말하면 점수 주시는 듯함,수업,3,,매우 졸림 과제 번 모든 과제 수월 게 할 과제 아님 글 잘 쓰 거 좋 아 그래도 열심히 면 이상 주심 시험 도 수업 시간 가르쳐 신 개념 알 으면 거의 다 적 몰라도 자신 의 생각 논리 적 으로 면 점수 시 듯,1
29,29,29,26.0,0.0,19.0,이재교,80,10,법학입문,535020,1,11,시험도 수업시간 때 가르쳐주신 개념들 알고있으면 거의 다 적을 수 있고 몰라도 자신의 생각 논리적으로 말하면 점수 주시는 듯함,시험,2,,시험 도 수업 시간 가르쳐 신 개념 알 으면 거의 다 적 몰라도 자신 의 생각 논리 적 으로 면 점수 시 듯,1
30,30,30,33.0,0.0,19.0,이재교,100,12,법학입문,535020,1,12,중간은 B+받았는데 과제가 생각보다 잘 나와서 점수 잘 나옴 중간 기말도 중요하지만 중간중간 과제 잘 챙기는 것도 점수에 작용하는 것 같,시험,2,,중간 받 았 는데 과제 생각 보다 잘 나와서 점수 잘 나옴 중간 기말 도 중요 지만 중간 중간 과제 잘 챙기 도 점수 작용,0
31,31,31,33.0,0.0,19.0,이재교,100,12,법학입문,535020,1,12,중간은 B+받았는데 과제가 생각보다 잘 나와서 점수 잘 나옴 중간 기말도 중요하지만 중간중간 과제 잘 챙기는 것도 점수에 작용하는 것 같,과제,1,,중간 받 았 는데 과제 생각 보다 잘 나와서 점수 잘 나옴 중간 기말 도 중요 지만 중간 중간 과제 잘 챙기 도 점수 작용,0
32,32,32,40.0,0.0,19.0,이재교,60,13,법학입문,535020,1,13,교수님 강의 잘 들어야함,수업,2,,교수 님 강의 잘 들어야,1
33,33,33,40.0,0.0,19.0,이재교,60,13,법학입문,535020,1,13,교수님 강의 잘 들어야함,교수,1,,교수 님 강의 잘 들어야,1
